index,latitude,longitude,year,count
0,17.9677778,-66.0616667,2002,1
1,17.9736111,-66.9083333,2001,1
2,18.0130556,-66.6144444,1974,1
3,18.0519444,-67.0597222,1999,1
4,18.1886111,-66.3066667,1970,1
5,18.1913889,-65.9613889,1997,1
6,18.1913889,-65.9613889,1999,1
7,18.2030556,-67.14,1972,1
8,18.2294444,-65.9213889,2002,1
9,18.2675,-66.7008333,1992,1
10,18.2966667,-66.8775,2000,1
11,18.3422222,-67.2502778,1983,1
12,18.3566667,-66.0077778,1975,1
13,18.3811111,-65.9016667,1995,1
14,18.3822222,-65.8316667,1995,1
15,18.3822222,-65.8316667,2002,1
16,18.3966667,-67.1136111,1989,1
17,18.3994444,-66.0502778,1973,1
18,18.4136111,-66.0822222,1997,1
19,18.4141667,-66.3316667,1998,1
20,18.4463889,-66.3880556,1998,1
21,18.4683333,-66.1061111,1965,1
22,18.4683333,-66.1061111,2004,1
23,18.4744444,-66.7161111,1998,1
24,18.5027778,-67.0247222,2001,1
25,19.0638889,-155.5858333,1997,1
26,19.4269444,-155.9130556,2008,2
27,19.4308333,-155.2377778,2005,1
28,19.4969444,-155.9216667,2008,2
29,19.4975,-154.9508333,2001,1
30,19.4975,-154.9508333,2003,1
31,19.4975,-154.9508333,2006,1
32,19.4975,-154.9508333,2007,1
33,19.5061111,-154.8486111,2013,1
34,19.6036111,-155.0572222,2012,1
35,19.6227778,-155.9522222,2005,2
36,19.6255556,-155.0416667,2002,2
37,19.6255556,-155.0416667,2004,2
38,19.6255556,-155.0416667,2007,1
39,19.6255556,-155.0416667,2009,1
40,19.6255556,-155.0416667,2010,2
41,19.6455556,-154.9877778,2012,1
42,19.7297222,-155.09,1988,1
43,19.7297222,-155.09,1989,1
44,19.7297222,-155.09,1993,1
45,19.7297222,-155.09,2002,1
46,19.7297222,-155.09,2005,1
47,19.7297222,-155.09,2008,2
48,19.7297222,-155.09,2011,1
49,19.7297222,-155.09,2012,2
50,19.7297222,-155.09,2013,1
51,19.8875,-155.1236111,2004,1
52,19.8997222,-155.1291667,2014,1
53,19.9430556,-155.7902778,2013,3
54,20.0005556,-155.5602778,2006,1
55,20.0827778,-155.4725,2012,1
56,20.2338889,-155.8019444,1995,1
57,20.2413889,-155.8327778,2005,1
58,20.6566667,-156.0586111,2013,1
59,20.7580556,-155.9902778,2013,2
60,20.785,-156.4655556,2007,1
61,20.785,-156.4655556,2010,2
62,20.785,-156.4655556,2011,1
63,20.785,-156.4655556,2012,3
64,20.785,-156.4655556,2013,4
65,20.785,-156.4655556,2014,1
66,20.8366667,-156.3366667,2013,1
67,20.8569444,-156.3130556,1992,1
68,20.8569444,-156.3130556,2012,1
69,20.8783333,-156.6825,1993,1
70,20.8783333,-156.6825,1994,1
71,20.8783333,-156.6825,1997,1
72,20.8783333,-156.6825,1998,1
73,20.8783333,-156.6825,1999,1
74,20.8783333,-156.6825,2008,1
75,20.8783333,-156.6825,2010,1
76,20.8783333,-156.6825,2012,1
77,20.8783333,-156.6825,2013,5
78,20.8783333,-156.6825,2014,1
79,20.8911111,-156.5047222,1995,1
80,20.8911111,-156.5047222,2011,1
81,20.8911111,-156.5047222,2012,1
82,20.8911111,-156.5047222,2013,2
83,20.8947222,-156.47,2001,2
84,20.8947222,-156.47,2004,1
85,20.8947222,-156.47,2010,4
86,20.9033333,-156.3694444,1999,1
87,20.9033333,-156.3694444,2014,1
88,20.9083333,-156.2275,1998,1
89,20.9175,-156.3258333,2005,1
90,20.9175,-156.3258333,2009,1
91,20.9175,-156.3258333,2014,1
92,20.9316667,-156.6972222,2013,2
93,20.9541667,-156.6897222,2012,1
94,21.0933333,-157.0238889,1985,1
95,21.0933333,-157.0238889,2009,1
96,21.1363889,-157.2138889,2000,1
